source_system,legacy_column,sample_value,legacy_description,issue
biz_legacy_integrated,area_no,BIZ-31536,업무영역 식별자,"no 약어가 번호와 식별자 의미를 혼동시키며 BIZ 접두사 뒤의 구분자·공백·대소문자 형식이 일관되지 않음. 8,344행 중 4,177건이 표준 BIZ_##### 형식과 다름."
biz_legacy_integrated,area_nm,"　인사플랫폼　",업무영역 이름,"nm 약어를 사용하며 외부 공백·탭·유니코드 공백이 혼재함. 공백 표준화가 필요한 값이 1,908건이고 필수 컬럼에 NULL 토큰이 54건 존재함."
biz_legacy_integrated,p_area_no,없음,상위 업무영역 식별자,"p와 no 약어의 의미가 불명확하고 ID 형식이 일관되지 않음. ID 표기 변형이 4,050건이며 허용된 NULL이 공통 NULL 토큰 125건과 없음 33건 등 여러 방식으로 표현됨."
biz_legacy_integrated,p_area_nm," 생산 ",상위 업무영역 이름,"p와 nm 약어를 사용하고 공백 표현이 혼재함. 공백 표준화가 필요한 값이 2,404건이고 필수값 누락이 320건이며 동일 상위 ID에 여러 명칭이 연결된 ID가 572개임."
biz_legacy_integrated,top_area_no,biz-00755,최상위 업무영역 식별자,"no 약어가 식별자 의미를 명확히 전달하지 못하고 BIZ 접두사·구분자·대소문자 형식이 일관되지 않음. 8,344행 중 4,189건이 표준 형식과 다름."
biz_legacy_integrated,top_area_nm," 인사 ",최상위 업무영역 이름,"nm 약어를 사용하고 공백 표현이 일관되지 않음. 공백 표준화가 필요한 값이 2,495건이며 동일 최상위 ID에 여러 명칭이 연결된 ID가 572개임."
biz_legacy_integrated,top_area_lvl,TOP_LEVEL,최상위 업무영역 레벨,"lvl 약어를 사용하고 동일한 최상위 레벨이 1·L1·TOP_LEVEL·top_level·TOP LEVEL·최상위 등으로 분산됨. 원천 표현이 7개이며 필수 컬럼에 UNKNOWN이 67건 존재함."
biz_legacy_integrated,mgr_no,EMP 001921,담당자 식별자,"mgr와 no 약어가 의미를 축약하며 EMP 접두사 뒤의 공백·구분자·대소문자 형식이 일관되지 않음. ID 형식 변형이 3,505건이고 필수 컬럼에 UNKNOWN이 43건 존재함."
biz_legacy_integrated,mgr_nm," 김수아 ",담당자 이름,"mgr와 nm 약어를 사용하며 외부 공백·탭·유니코드 공백이 혼재함. 공백 표준화가 필요한 값이 2,420건이고 필수값 누락이 44건 존재함."
biz_legacy_integrated,mgr_dept_nm,"　생산팀　",담당자 부서 이름,"mgr·dept·nm 약어를 연속 사용하여 의미가 불명확하고 공백 표현이 일관되지 않음. 공백 표준화가 필요한 값이 2,500건이고 필수값 누락이 44건 존재함."
biz_legacy_integrated,mgr_pos_nm,대 리,담당자 직위 이름,"mgr·pos·nm 약어를 사용하고 동일 직위가 내부·외부 공백에 따라 여러 값으로 분리됨. 원천 직위 표현이 18개이고 내부 공백 변형이 815건이며 필수 컬럼에 미상이 44건 존재함."
biz_legacy_integrated,mgr_hire_dtm,2026/05/12 09:58:06,담당자 입사 일시,"mgr와 dtm 약어를 사용하고 6개 날짜 형식이 혼재함. 표준 ISO 형식이 아닌 파싱 가능 값이 6,836건이고 유효하지 않은 sentinel 값이 96건 존재함."
biz_legacy_integrated,mgr_act_yn,재직,담당자 활성 여부,"mgr와 act 약어를 사용하고 동일한 Y/N 의미가 영문·숫자·한글 13개 표현으로 분산됨. 표준값 변환이 필요한 값이 6,848건이고 필수 컬럼에 UNKNOWN이 107건 존재함."
biz_legacy_integrated,area_reg_dtm,2019/07/08 15:03:57,업무영역 등록 일시,"reg와 dtm 약어를 사용하고 6개 날짜 형식이 혼재함. 표준 ISO 형식이 아닌 파싱 가능 값이 6,890건이고 유효하지 않은 sentinel 값이 46건 존재함."
biz_legacy_integrated,top_area_reg_dtm,2019-11-04 00:52:02.0,최상위 업무영역 등록 일시,"reg와 dtm 약어를 사용하고 6개 날짜 형식이 혼재함. 표준 ISO 형식이 아닌 파싱 가능 값이 6,864건이고 유효하지 않은 sentinel 값이 59건 존재함."
